Date,Import_kWh,Export_kWh,Generation_kWh,Load_kWh
2024-05-03,4.126999999999999,18.716000000000005,21.013192221,6.424192220999995
2024-05-04,5.402000000000001,15.273000000000001,19.210523017999996,9.339523017999996
2024-05-05,4.534000000000001,15.192000000000002,17.726020553,7.068020553
2024-05-06,4.388000000000001,17.201,19.095907777000004,6.282907777000005
2024-05-07,5.141999999999999,12.379,15.232507501,7.995507501
2024-05-08,2.563999999999999,15.605000000000002,17.967276976999997,4.926276976999994
2024-05-09,8.065000000000001,8.447000000000001,10.642202777,10.260202777
2024-05-10,4.167000000000001,6.215999999999999,8.894574721999998,6.845574721999999
2024-05-11,6.947000000000001,6.846,9.60388472,9.70488472
2024-05-12,2.1679999999999993,18.154999999999998,19.922352499,3.9353524990000004
2024-05-13,1.7370000000000003,10.892000000000005,12.052476665,2.8974766649999957
2024-05-14,1.6700000000000004,10.897,12.116092221,2.8890922210000007
2024-05-15,1.6700000000000004,18.449,19.632588333999998,2.8535883339999963
2024-05-16,1.6140000000000003,17.816999999999997,19.114716050000002,2.9117160500000057
2024-05-17,1.7060000000000002,8.553,9.676842642,2.829842642
2024-05-18,1.6130000000000002,16.714,18.045095402,2.944095402000003
2024-05-19,1.6970000000000005,10.525,11.573937930000001,2.7459379300000015
2024-05-20,1.6920000000000002,10.671999999999999,11.798187355000001,2.8181873550000027
2024-05-21,1.7380000000000002,8.306000000000001,9.293101725000001,2.725101725000001
2024-05-22,1.8050000000000006,12.779000000000002,13.868175862,2.894175861999998
2024-05-23,1.7660000000000002,14.161999999999999,15.227673563,2.8316735630000007
2024-05-24,1.5080000000000002,7.418,8.404212290000002,2.494212290000002
2024-05-25,1.767,12.899999999999999,14.012118967000001,2.8791189670000024
2024-05-26,1.6490000000000002,17.253,18.360509482999994,2.756509482999994
2024-05-27,1.7420000000000002,16.911,18.165135057,2.996135056999999
2024-05-28,1.6100000000000003,16.366999999999997,17.464525287,2.7075252870000037
